name,imo,flag
OCEAN GUARDIAN,9267948,PANAMA
OCEAN PRIDE,9193733,PALAU
OCEAN RI,9105102,PALAU
OCEANIC II,9275995,HONG KONG
OCEANJET,9546722,GUINEA (FALSE)
OLINA‡,9282479,SAO TOME & PRINCIPE
OLIVIA,9222704,COMOROS
OLIVIA,9247065,HONG KONG
OLYM,9212759,GUYANA (FALSE)
OMRA,9264881,
ORA,9298296,PANAMA
ORABELLA,9174660,PANAMA
ORION,9131357,CAMEROON
OXIS,9224805,CAMEROON
PABLO,9133587,GABON
PAMIR,9208239,PANAMA
PAMR,9292163,UNKNOWN
PAULA,9260366,
PEARL I,9233234,
PEGAS,9256860,
PENNY H (ex WU XIAN),9102239,SAO TOME & PRINCIPE
PETERPAUL‡,9163269,UNKNOWN
PETREL 1,9295270,HONG KONG
PHENIX VI‡,9255880,GUYANA (FALSE)
PHOENIX I,9236248,
PIONEER SAM,9232620,PALAU
PIX,9298284,
PK MARIT,9235464,COOK ISLANDS
PK PHOENIX,9326902,PANAMA
PONTUS,9511179,PALAU
PRINCESS SOFIA,9240407,PANAMA
PROGRESS V,9316701,UNKNOWN
PRS OCEAN,9276561,GAMBIA
PULMONIS,9234616,GUINEA (FALSE)
PURDUE STELLAR,9275658,HONG KONG
PURNA‡,9176656,GAMBIA
PVT DOLPHIN,9288277,
QUANTUM STAR,9225342,PANAMA
QUEEN 1,8614467,GUYANA (FALSE)
QUINN,9220952,PANAMA
RADA,9213301,ST KITTS & NEVIS
RAINE,9223540,GUINEA (FALSE)
RAMYA,9363182,BARBADOS
RANGLER,9206671,
RANGVER,9281425,
RANI,9250907,
RARITY,9278519,HONG KONG
RATNA‡,9160475,CURACAO (FALSE)
REEF,9263382,GUINEA (FALSE)
REMIZ,9223344,
REVIN,9306665,COMOROS
REX 1,9219056,UNKNOWN
RIALTO,9160530,COMOROS
RIEVERIA I,9286229,SAN MARINO
RIQUEZA,9233650,PANAMA
RIVAL,9117818,UNKNOWN
ROC,9275660,PANAMA
ROSE 25,9275983,PALAU
ROSSONERI,9242120,ST KITTS & NEVIS
ROYAL LADY,9300829,
RUBY,9192258,GUYANA (FALSE)
SA CAPRICORN,9230878,LIBERIA
SA CRYSTAL,9182318,LIBERIA
SA HORIZON,9233272,MARSHALL ISLANDS
SA OCEANIA,9246633,LIBERIA
SAAVI (ex MAHARAJA),9070149,PANAMA
SAGNA,7729019,PALAU
SAHARA‡,9322267,GUINEA (FALSE)
SALOME I,9135547,SAO TOME & PRINCIPE (FALSE)
SALUTE LEGEND,9174622,HONG KONG
SALVIA,9297319,COOK ISLANDS
SAMSUN,9436006,PANAMA
SAN REMO,9396725,PORTUGAL
SANAR,9185530,GUYANA (FALSE)
SANTA ANA,9222699,COMOROS
SAPPHIRE,9294240,HONG KONG
SARAK,9226968,IRAN
SCORPIUS,9264893,UNKNOWN
SEA ARGUS,9004815,TANZANIA
